id_producto,categoria,costo_produccion,presupuesto_marketing,unidades_inventario,puntuacion_reviews,valor_venta
P0393,Ropa,80.68,1408.13,304,3.6,186.75
P0394,Ropa,157.52,1726.07,23,4.0,288.39
P0395,Electronica,74.75,1122.84,484,3.8,163.1
P0396,Hogar,186.84,1508.69,118,4.8,345.45
P0397,Deportes,173.1,1626.66,416,3.7,306.58
P0398,Electronica,91.51,1687.91,58,5.0,188.55
P0399,Electronica,152.67,793.13,290,4.6,279.32
P0400,Deportes,153.36,963.5,394,3.0,258.99
P0401,Electronica,29.59,240.22,304,4.8,64.25
P0402,Hogar,181.49,979.68,176,2.8,298.99
P0403,Hogar,106.0,818.48,94,4.5,192.51
P0404,Ropa,167.03,2295.93,391,3.5,322.53
P0405,Electronica,70.81,801.67,307,4.7,150.9
P0406,Ropa,180.15,3312.97,149,4.7,367.14
P0407,Electronica,83.95,1449.12,194,4.5,181.62
P0408,Hogar,12.06,122.13,481,4.5,37.09
P0409,Hogar,182.02,1618.4,103,3.3,328.87
P0410,Hogar,27.34,292.41,41,2.7,72.18
P0411,Electronica,70.67,979.09,478,3.5,148.93
P0412,Hogar,190.51,1718.58,46,2.9,339.13
P0413,Electronica,190.62,2737.73,214,4.2,354.01
P0414,Ropa,118.95,1325.24,356,3.4,224.05
P0415,Electronica,130.05,1727.16,401,4.9,245.92
P0416,Ropa,95.2,1098.79,255,4.1,185.04
P0417,Electronica,65.71,618.79,459,4.6,117.54
P0418,Ropa,72.45,1392.98,111,2.8,134.21
P0419,Hogar,137.78,2267.04,496,4.7,273.6
P0420,Ropa,152.95,1086.2,40,4.8,269.66
P0421,Hogar,160.4,2891.53,322,3.7,318.0
P0422,Hogar,160.03,1970.2,483,4.0,298.1
P0423,Ropa,27.33,503.37,376,4.4,73.36
P0424,Electronica,103.94,1766.75,462,2.9,211.83
P0425,Electronica,20.94,238.26,103,3.8,50.54
P0426,Deportes,114.41,610.61,281,3.5,199.13
P0427,Electronica,93.89,847.84,166,2.9,186.84
P0428,Deportes,178.66,2344.83,460,3.4,331.92
P0429,Electronica,76.67,1111.88,472,2.7,148.95
P0430,Electronica,32.24,285.91,406,2.6,67.9
P0431,Hogar,37.17,263.55,276,2.8,73.41
P0432,Deportes,154.69,2710.78,77,4.9,303.65
P0433,Electronica,127.46,2519.38,399,3.9,251.1
P0434,Deportes,29.21,376.38,441,4.9,68.21
P0435,Hogar,25.98,196.8,34,3.6,69.64
P0436,Hogar,143.18,1300.73,181,3.3,250.99
P0437,Deportes,23.82,125.67,464,3.8,55.69
P0438,Hogar,166.15,3109.41,182,3.6,336.42
P0439,Ropa,144.19,975.63,339,2.8,247.01
P0440,Ropa,25.46,347.47,300,4.1,71.97
P0441,Hogar,26.12,237.97,299,3.0,43.53
P0442,Ropa,197.46,2628.72,31,4.0,367.44
P0443,Electronica,81.11,1198.1,293,4.1,166.92
P0444,Deportes,80.42,1403.02,290,2.9,163.42
P0445,Electronica,164.43,1331.28,227,2.7,270.24
P0446,Deportes,189.98,981.23,46,4.5,339.13
P0447,Hogar,197.34,1391.9,91,3.6,333.3
P0448,Electronica,153.14,2833.13,79,2.6,302.72
P0449,Hogar,81.49,1475.65,449,5.0,176.83
P0450,Hogar,25.87,361.18,492,2.6,69.07
P0451,Deportes,157.66,2208.46,164,4.2,323.53
P0452,Deportes,116.1,1738.66,112,5.0,221.02
P0453,Deportes,90.6,691.33,328,3.1,158.74
P0454,Electronica,182.21,3410.28,27,2.9,357.91
P0455,Ropa,31.13,351.19,98,2.8,56.67
P0456,Deportes,103.6,1113.4,46,3.3,201.99
P0457,Deportes,12.16,155.45,193,2.8,43.78
P0458,Electronica,99.05,565.03,69,4.2,186.47
P0459,Deportes,20.7,155.13,218,2.7,50.02
P0460,Electronica,32.58,523.58,406,3.8,92.04
P0461,Hogar,32.33,201.8,368,5.0,65.97
P0462,Deportes,133.35,1873.21,467,4.5,260.64
P0463,Deportes,151.75,1317.23,447,4.0,266.58
P0464,Hogar,120.84,1309.84,200,3.3,232.86
P0465,Hogar,192.81,1799.0,43,4.1,327.36
P0466,Hogar,81.23,839.52,335,3.8,157.35
P0467,Deportes,64.29,1014.86,397,3.6,138.08
P0468,Ropa,175.03,1655.23,406,2.8,300.17
P0469,Ropa,52.48,708.27,423,4.7,110.12
P0470,Ropa,193.01,2343.29,65,3.6,354.53
P0471,Deportes,12.31,184.1,34,3.0,46.7
P0472,Hogar,194.28,3701.51,172,3.4,372.12
P0473,Deportes,18.2,290.99,241,3.5,42.04
P0474,Hogar,179.32,1474.75,225,4.6,332.73
P0475,Deportes,110.26,602.87,474,4.3,196.22
P0476,Deportes,198.66,1774.82,292,4.4,347.71
P0477,Hogar,24.02,334.51,401,2.5,62.51
P0478,Ropa,115.23,665.04,255,3.5,198.76
P0479,Hogar,194.17,2416.54,359,3.7,368.36
P0480,Electronica,109.39,1526.28,247,2.5,200.47
P0481,Electronica,129.59,1297.67,28,3.1,234.24
P0482,Hogar,142.19,2355.19,185,4.4,291.84
P0483,Deportes,96.36,635.88,451,2.8,168.99
P0484,Electronica,129.24,791.86,463,3.8,236.26
P0485,Electronica,121.02,1926.98,338,3.0,234.41
P0486,Deportes,181.22,2252.99,233,2.5,349.21
P0487,Deportes,18.63,285.52,136,3.1,64.84
P0488,Ropa,63.38,730.29,405,4.9,120.89
P0489,Deportes,190.58,1657.29,363,4.5,346.74
P0490,Hogar,179.15,3096.88,91,4.9,347.0
P0491,Hogar,96.57,1640.84,414,3.7,198.09
P0492,Ropa,127.83,1971.2,83,2.8,245.85
P0493,Electronica,62.7,569.45,224,3.9,114.39
P0494,Electronica,45.74,633.66,228,3.6,109.87
P0495,Deportes,98.1,1021.67,91,4.6,192.62
P0496,Hogar,77.14,491.67,296,2.7,136.2
P0497,Electronica,120.89,2267.86,293,3.7,240.81
P0498,Ropa,24.77,174.68,497,2.9,56.55
P0499,Ropa,195.14,3757.14,339,3.3,388.43
P0500,Hogar,197.38,2307.39,357,4.3,362.47
